ID,X,Y
reactions_1,"{'reactant': '[Cl-].[Al+3].[Cl-].[Cl-].[Cl:5][CH2:6][CH2:7][CH2:8][C:9](Cl)=[O:10].[C:12]1([CH:18]([CH3:20])[CH3:19])[CH:17]=[CH:16][CH:15]=[CH:14][CH:13]=1', 'catalyst': 'C(Cl)Cl', 'product': '[Cl:5][CH2:6][CH2:7][CH2:8][C:9]([C:15]1[CH:16]=[CH:17][C:12]([CH:18]([CH3:20])[CH3:19])=[CH:13][CH:14]=1)=[O:10]'}",86%
reactions_2,"{'reactant': '[Al+3].[Cl-].[Cl-].[Cl-].[Cl:5][CH2:6][CH2:7][CH2:8][C:9](Cl)=[O:10].[C:12]1([CH3:18])[CH:17]=[CH:16][CH:15]=[CH:14][CH:13]=1', 'catalyst': '', 'product': '[Cl:5][CH2:6][CH2:7][CH2:8][C:9]([C:15]1[CH:16]=[CH:17][C:12]([CH3:18])=[CH:13][CH:14]=1)=[O:10]'}",95%
reactions_3,"{'reactant': '[Cl:1][CH2:2][CH2:3][CH2:4][C:5]([C:7]1[CH:12]=[CH:11][C:10]([CH:13]([CH3:15])[CH3:14])=[CH:9][CH:8]=1)=[O:6].[Br:16]N1C(=O)CCC1=O', 'catalyst': 'C(Cl)(Cl)(Cl)Cl.CC(N=NC(C#N)(C)C)(C#N)C', 'product': '[Br:16][C:13]([C:10]1[CH:9]=[CH:8][C:7]([C:5](=[O:6])[CH2:4][CH2:3][CH2:2][Cl:1])=[CH:12][CH:11]=1)([CH3:15])[CH3:14]'}",100%
reactions_4,"{'reactant': '[Cl:1][CH2:2][CH2:3][CH2:4][C:5]([C:7]1[CH:12]=[CH:11][C:10]([CH:13]([CH3:15])[CH3:14])=[CH:9][CH:8]=1)=[O:6].[Br:16]([O-])(=O)=O.[Na+].[Br-].[Na+].S(S([O-])(=O)=O)([O-])(=O)=O.[Na+].[Na+]', 'catalyst': 'C(Cl)Cl.O', 'product': '[Br:16][C:13]([C:10]1[CH:9]=[CH:8][C:7]([C:5](=[O:6])[CH2:4][CH2:3][CH2:2][Cl:1])=[CH:12][CH:11]=1)([CH3:15])[CH3:14]'}",99%
reactions_5,"{'reactant': '[CH3:1][C:2]([C:7]1[CH:12]=[CH:11][CH:10]=[CH:9][CH:8]=1)([CH3:6])[C:3](O)=[O:4].S(Cl)(Cl)=O.C(=O)([O-])[O-].[K+].[K+].Cl.[CH3:24][NH:25][O:26][CH3:27].Cl', 'catalyst': 'C1(C)C=CC=CC=1.O.C(OC)(C)(C)C', 'product': '[CH3:27][O:26][N:25]([CH3:24])[C:3](=[O:4])[C:2]([CH3:6])([C:7]1[CH:12]=[CH:11][CH:10]=[CH:9][CH:8]=1)[CH3:1]'}",95%
reactions_6,"{'reactant': '[Al+3].[Cl-].[Cl-].[Cl-].[Cl:5][CH2:6][CH2:7][CH2:8][C:9](Cl)=[O:10].[CH3:12][O:13][N:14]([CH3:26])[C:15](=[O:25])[C:16]([CH3:24])([C:18]1[CH:23]=[CH:22][CH:21]=[CH:20][CH:19]=1)[CH3:17]', 'catalyst': 'C(Cl)Cl', 'product': '[CH3:12][O:13][N:14]([CH3:26])[C:15](=[O:25])[C:16]([C:18]1[CH:23]=[CH:22][C:21]([C:9](=[O:10])[CH2:8][CH2:7][CH2:6][Cl:5])=[CH:20][CH:19]=1)([CH3:24])[CH3:17]'}",63%
reactions_7,"{'reactant': '[CH3:1][C:2]([C:7]1[CH:12]=[CH:11][CH:10]=[CH:9][CH:8]=1)([CH3:6])[C:3](O)=[O:4].S(Cl)(Cl)=O.C(=O)([O-])[O-].[K+].[K+].Cl.[CH3:24][NH:25][CH3:26].Cl', 'catalyst': 'C1(C)C=CC=CC=1.O.C(OC)(C)(C)C', 'product': '[CH3:24][N:25]([CH3:26])[C:3](=[O:4])[C:2]([CH3:6])([C:7]1[CH:12]=[CH:11][CH:10]=[CH:9][CH:8]=1)[CH3:1]'}",88%
reactions_8,"{'reactant': '[Al+3].[Cl-].[Cl-].[Cl-].[Cl:5][CH2:6][CH2:7][CH2:8][C:9](Cl)=[O:10].[CH3:12][N:13]([CH3:25])[C:14](=[O:24])[C:15]([CH3:23])([C:17]1[CH:22]=[CH:21][CH:20]=[CH:19][CH:18]=1)[CH3:16]', 'catalyst': 'C(Cl)(Cl)(Cl)Cl.C(Cl)Cl', 'product': '[CH3:25][N:13]([CH3:12])[C:14](=[O:24])[C:15]([C:17]1[CH:18]=[CH:19][C:20]([C:9](=[O:10])[CH2:8][CH2:7][CH2:6][Cl:5])=[CH:21][CH:22]=1)([CH3:23])[CH3:16]'}",72%
reactions_9,"{'reactant': '[Al+3].[Cl-].[Cl-].[Cl-].[Cl:5][CH2:6][CH2:7][CH2:8][C:9](Cl)=[O:10].[CH3:12][C:13]([C:18]1[CH:23]=[CH:22][CH:21]=[CH:20][CH:19]=1)([CH3:17])[C:14]([OH:16])=[O:15].[N:24]1([C:29]([NH2:31])=[O:30])[CH2:28][CH2:27][CH2:26][CH2:25]1', 'catalyst': 'C(Cl)(Cl)(Cl)Cl', 'product': '[N:24]1([C:29]([NH2:31])=[O:30])[CH2:28][CH2:27][CH2:26][CH2:25]1.[Cl:5][CH2:6][CH2:7][CH2:8][C:9]([C:21]1[CH:22]=[CH:23][C:18]([C:13]([CH3:17])([CH3:12])[C:14]([OH:16])=[O:15])=[CH:19][CH:20]=1)=[O:10]'}",78%
reactions_10,"{'reactant': 'Cl.[Cl:2][CH2:3][CH2:4][CH2:5][C:6]([C:8]1[CH:13]=[CH:12][C:11]([C:14]([CH3:19])([CH3:18])[C:15]([OH:17])=[O:16])=[CH:10][CH:9]=1)=[O:7].[CH2:20](O)[CH3:21]', 'catalyst': '', 'product': '[Cl:2][CH2:3][CH2:4][CH2:5][C:6]([C:8]1[CH:13]=[CH:12][C:11]([C:14]([CH3:19])([CH3:18])[C:15]([O:17][CH2:20][CH3:21])=[O:16])=[CH:10][CH:9]=1)=[O:7]'}",97%
